,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Žika Antić,Uzice,6tewlP12DteyK9l7N0obC6,0,0.0362,0.612,222511,0.865,4.74e-05,4,0.146,-7.974,1,0.0505,106.898,4,0.856
1,Žika Antić,Sta ako sam je voleo,5zd1UPKRyOVFUpVCBwH2ot,0,0.3,0.693,236042,0.87,0.0,7,0.201,-5.706,1,0.0765,140.007,4,0.844
2,Žika Antić,Kise jesenje,1Ul6aOajjwkm4Gpncei7N3,0,0.25,0.532,231131,0.796,0.0,10,0.0939,-7.214,0,0.0411,169.929,4,0.917
3,Žika Antić,Kad te budu pitali,565FReKHXs16ki0nlmJrsB,0,0.0833,0.569,209450,0.746,3.47e-06,9,0.0712,-7.578,0,0.044,135.036,4,0.596
4,Žika Antić,Evo moje sudbine,7atiIWXBaeA5oYelLxqTZV,0,0.00272,0.51,198165,0.727,0.0,9,0.267,-7.851,0,0.0309,127.068,1,0.809
5,Žika Antić,Duga reka,5lFQK0Ya7KfQDtkAGME2bE,0,0.0956,0.647,211722,0.839,0.0,9,0.192,-6.721,0,0.056,100.046,4,0.948
6,Žika Antić,Cero moja,2Ffh9gFmttgJ0TYP7UNdSB,0,0.0226,0.599,227004,0.667,0.0,2,0.046,-6.79,1,0.0355,117.992,1,0.613
7,Öona Dahl,Break The Stillness - Mixed,6Qrj52Q2kdbpYwkZMwUsaX,27,0.018,0.421,248680,0.561,0.389,9,0.145,-13.825,1,0.047,115.978,4,0.0355
8,Öona Dahl,Break The Stillness,3YoNGxrcH6ym5bTkFcXZMj,9,0.0472,0.399,390132,0.532,0.564,2,0.128,-14.149,1,0.0473,108.82,4,0.0357
9,yotto + h,ノルウェーの森,10BffIiNRV5tXs37BtsGpc,1,0.746,0.73,183453,0.421,0.889,0,0.149,-12.667,1,0.0346,111.999,4,0.611
10,sp-just-frost,Used to Love Her,2Z8o80KQFYeuNha6SNZHfT,3,0.0456,0.577,136560,0.839,7.72e-06,5,0.987,-9.001,1,0.109,119.292,4,0.62
11,penelope,What A Love,3UQT0TU0aixSBHlbZkQByq,7,0.71,0.51,210464,0.459,0.0,3,0.0853,-4.887,1,0.0267,159.813,4,0.322
12,penelope,Stranger,13AlKOpbAQrrnSxYJT5NGJ,38,0.816,0.575,253721,0.325,0.0,5,0.0972,-6.046,1,0.0264,80.028,4,0.406
13,penelope,Lost,6X5BGejEP64jiEDDxOSSPT,9,0.15,0.686,222065,0.647,6.53e-06,3,0.119,-4.836,1,0.0254,116.489,4,0.591
14,penelope,Dreamer,2DtPmso7o1vcAhZsZvQRQl,8,0.0144,0.724,215138,0.798,1.66e-06,5,0.101,-4.546,1,0.0708,95.001,4,0.801
15,penelope,Catch Me When I Fall,2PuFIiz8szFiiZMaz6aKvV,31,0.236,0.502,211799,0.674,4.01e-05,1,0.0927,-6.458,1,0.0409,88.225,4,0.431
16,penelope,Across The Room,3ax8V4AAuHaOMs19VQTa0t,10,0.653,0.627,254581,0.713,0.000784,2,0.101,-5.167,1,0.0679,121.934,4,0.252
17,boots to the moon,To Outer-Space... So Long,7BE4w5x1tY6yNaG5VN5utN,0,0.443,0.206,350827,0.718,0.242,6,0.0775,-10.335,0,0.0854,192.339,4,0.0378
18,boots to the moon,The Come To...,5vH7lHf9Dg71RQafMX2dhu,0,0.663,0.295,214240,0.485,0.000789,5,0.339,-9.775,1,0.0303,176.662,3,0.199
19,boots to the moon,Sunlacks of Your Skin,093LxFIrAeiyao4q3wRLxS,0,0.238,0.393,239400,0.676,4.85e-05,0,0.0946,-6.373,1,0.0332,138.052,4,0.705
20,boots to the moon,Squirrelly,70TCOIUR8PiQD2lQ2DRdt6,0,0.708,0.527,201467,0.566,0.232,7,0.0953,-6.614,1,0.0281,104.682,4,0.217
21,boots to the moon,Soft,3vJmU9vrSwea9Wgui8lT2i,1,0.0211,0.556,280579,0.883,0.131,9,0.111,-4.011,0,0.056,99.947,4,0.353
22,boots to the moon,Of a Girl,3LHtXx0gqKgiH7KbNYIo1u,0,0.337,0.578,141440,0.652,4.08e-06,4,0.172,-5.75,0,0.0278,113.863,4,0.834
23,boots to the moon,Need,0jTwWKNPWAsLk6NXTzCGWX,0,0.018,0.29,327106,0.696,0.0108,0,0.665,-4.991,1,0.0386,86.263,3,0.486
24,boots to the moon,Mount,1aumonL1Syw67oOKlHXIiT,2,0.013,0.365,213277,0.818,0.693,0,0.13,-5.873,1,0.105,140.136,4,0.327
25,boots to the moon,Gay 1923s,5tZqF5bTkHNzluPYMKdPpn,0,0.272,0.472,266747,0.762,0.00794,4,0.228,-7.807,0,0.0385,150.233,4,0.554
26,boerd,Zombies Part II,6Wo9Id3LCiBrZuBh2Y5HHc,8,0.946,0.422,252000,0.474,0.802,7,0.0796,-11.969,0,0.0608,170.027,4,0.422
27,boerd,Zombies Part I,6A8pF07w07ucFvpIB7Z1NG,8,0.865,0.367,292000,0.276,0.946,6,0.0952,-14.832,0,0.0427,119.917,5,0.0769
28,boerd,What If,43lGZBFgVXqSFHSDlChsTQ,10,0.612,0.595,313636,0.404,0.894,6,0.0743,-15.079,0,0.0648,175.975,4,0.224
29,boerd,Wavelength - Original Mix,5Ns2JSMJ7FByO8CVqyOjhs,1,0.963,0.315,156000,0.133,0.855,8,0.0809,-20.58,1,0.0585,106.129,3,0.114
30,boerd,Void - Croquet Club Remix,2czxcgLx9Rp8eQa48Phyhe,12,0.849,0.524,259008,0.479,0.0954,8,0.103,-7.566,1,0.0619,90.001,4,0.275
31,boerd,Void,45voNVzOyWPZXtLMhqKm4K,25,0.212,0.304,351551,0.268,0.703,8,0.109,-16.581,1,0.0524,120.882,4,0.0633
32,boerd,Velocity - Original Mix,6MBV32qFRDbA1Qi6HUwfkH,1,0.0558,0.456,328989,0.325,0.912,0,0.0902,-9.636,1,0.0289,177.926,4,0.0609
33,boerd,Underwater Cave - Original Mix,6Q18bdqWlaAOv1CkWJPhb7,0,0.302,0.803,293554,0.452,0.945,0,0.0948,-15.821,1,0.0606,121.008,4,0.27
34,boerd,Too Sad - boerd Remix,71CCI7BXxxwfSLer88nvYz,1,0.176,0.386,254458,0.245,0.624,3,0.0912,-15.345,1,0.0468,82.555,4,0.27
35,boerd,Too Sad - Martinou Remix,4diQsqAkEZq6OwpgmJip3L,2,0.473,0.704,340010,0.907,0.873,8,0.0887,-12.537,1,0.0462,119.984,4,0.0726
36,boerd,Too Sad - Main Engine Remix,6j3u4Dewb8YAs5wr0bMss1,2,0.69,0.542,295385,0.611,0.781,2,0.0896,-14.07,0,0.0746,64.962,4,0.173
